,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,Splints (Miscellaneous Renewable Mater (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Stickers For Identification (Miscellaneous Renewable Mater (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Surgical drape (Miscellaneous Renewable Mater (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Testor (Miscellaneous Renewable Mater (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Thermometer (Miscellaneous Renewable Mater (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Tongue Depressor (Miscellaneous Renewable Mater (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Ultra Sound (Miscellaneous Renewable Mater (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Sterilization (Medical Renewable Items),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Bags And Pouches For Packing (Sterilization (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Control Strip,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Paper for Write Copy Print (Sterilization (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Plastic Bag (Sterilization (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Sterilisazion shee,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Sterilization (Sterilization (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Tape Autoclave,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Surgical Instruments (Medical Renewable Items),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Forceps Hemostatic (Surgical Instruments (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Forceps Tissue (Surgical Instruments (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Needle Holder (Surgical Instruments (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Obstetrics (Surgical Instruments (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Scalpel (Surgical Instruments (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Scissors (Surgical Instruments (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Sutures & Needles,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Abs Braided (Sutures & Needles),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Delegates (Sutures & Needles),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Ligature Umbilical,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Needles Medical (Sutures & Needles),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,NON ABS Catgut,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Non Abs. Mono,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Non Abs. UHMWPE,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Staples and Staplers (Sutures & Needles),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Suture Anchor (fix,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,X-Ray Machines & Equipment (Medical Renewable Items),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Developer for Films (X-Ray Machines & Equipment (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Enveloppes (X-Ray Machines & Equipment (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Film (X-Ray Machines & Equipment (Medical Renewable Items)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Fixer Powder,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Prosthetic Technology,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Component Prothesis Orthopedic,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Elbow,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Foot,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Hands,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Hip Joint,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Hooks (Component Prothesis Orthopedic),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Knee (Component Prothesis Orthopedic),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Modules,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Rivets (Component Prothesis Orthopedic),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Wrist,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Forms (Prosthetic Technology),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Medical Forms (Forms (Prosthetic Technology)),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Hardware /Engineering (Prosthetic Technology),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Glues (Hardware /Engineering (Prosthetic Technology)),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Rivets (Hardware /Engineering (Prosthetic Technology)),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Straps & Buckles For Prosthesis (Hardware /Engineering (Prosthetic Technology)),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Washers (Hardware /Engineering (Prosthetic Technology)),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Miscellaneous (Prosthetic Technology),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Miscellanous Items (Miscellaneous (Prosthetic Technology)),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Ortho Plastic,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,"Evafoam F, Prosthetics","Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Polypropylene F. Prosthetics (Ortho Plastic),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Orthopedic Dressings,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Ladies stockings,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Stockinette For Orthop.,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Orthopedic Machines,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Adhesive tape (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Air Compressors (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Alignment Jig,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Bolts (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Cutting Instruments (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Drilling machine or instrument (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Dust Aspirators,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Granulator Machine,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Gymnastic material (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Lathe Machine,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Marpol Machines (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Moulds For Prosthesis,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Nuts (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Plastic packagings (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Pneumatic Press For Prosthetic,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Polypropylene F. Prosthetics (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Pressure (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Prostethic Oven,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Prosthetic Saws,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Prosthetic Welding,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Sanding equipment and materials (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Staples and Staplers (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Straps & Buckles For Prosthesis (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Tools (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Vacuum Pumps,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Washers (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Welding (Orthopedic Machines),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Orthopedic Straps & Buckles,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Strap Velcro,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Straps & Buckles For Prosthesis (Orthopedic Straps & Buckles),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Orthopedic Teaching Items,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Human Skeleton For Teaching,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Model,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Teaching Charts (Orthopedic Teaching Items),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Physio,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Electrodes,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Equipment (physio) (Physio),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Gymnastic material (Physio),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Measuring (Physio),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Pulley (Physio),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Rehabilitation,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Thermo/Cryotherapy,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Podiatry,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Acetone (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Equipment (physio) (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Foam,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Forms (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Glues (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Hammer (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Lamp (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Leather,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Measuring (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Nails (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Pencil (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Pliers (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Polypropylene F. Prosthetics (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Resin,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Shoes (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Tools (Podiatry),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Tools (Prosthetic Technology),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Cutting Instruments (Tools (Prosthetic Technology)),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Measuring (Tools (Prosthetic Technology)),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Personal Protection Items (Tools (Prosthetic Technology)),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Plaster of Paris (Tools (Prosthetic Technology)),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Scale (Tools (Prosthetic Technology)),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Talcum (Tools (Prosthetic Technology)),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc)","Medical, Health"
,Radio and Telecommunications,"IT, Radio, Telecom",Radio And Telecommunications Items,"IT, Radio, Telecom"
,Cables,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Antenna (Cables),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Coaxial (Cables),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Programing (Cables),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Wire (Cables),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Connector,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Bnc,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Coaxial (Connector),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,F straight connector,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,N Conector,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,SMA standard conne,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Special,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Uhf,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Wire (Connector),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,For Budget (Radio and Telecommunications),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,FOR Budget ONLY (For Budget (Radio and Telecommunications)),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,HF Base,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Antenna (HF Base),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Diverse Items,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Mast And Accessories (HF Base),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Modem,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Power Tools,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Transceiver And Accessories (HF Base),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,HF Mobile,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Antenna (HF Mobile),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Programing (HF Mobile),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Transceiver And Accessories (HF Mobile),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Measuring & Marking (Radio and Telecommunications),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Analyzer (Measuring & Marking (Radio and Telecommunications)),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Compass (Measuring & Marking (Radio and Telecommunications)),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Dummy Load,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Global Positioning System (Measuring & Marking (Radio and Telecommunications)),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Multimeter (Measuring & Marking (Radio and Telecommunications)),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Standing Wave Relation Analyzer,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Miscellaneous (Radio and Telecommunications),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Miscellanous Items (Miscellaneous (Radio and Telecommunications)),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Repair (Radio and Telecommunications),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Antenna (Repair (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,BGAN explorer (Repair (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Global Positioning System (Repair (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Inmarsat (Repair (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Inverters (Repair (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Iridum transceivers and acessoires (Repair (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Televisions (Repair (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Testor (Repair (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Thuraya (Repair (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Transceiver And Accessories (Repair (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Very Small Aperture Terminal (Repair (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Satellite,"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,BGAN explorer (Satellite),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Case (Satellite),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Inmarsat (Satellite),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Iridum transceivers and acessoires (Satellite),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Regional BGAN,"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Satelite Terminals,"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Thuraya (Satellite),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Tracking,"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Very Small Aperture Terminal (Satellite),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Telephones (Radio and Telecommunications),"IT, Radio, Telecom","Telephones (IT, Radio and Telecommunications)","IT, Radio, Telecom"
,Analogic Set (Telephones (Radio and Telecommunications)),"IT, Radio, Telecom","Telephones (IT, Radio and Telecommunications)","IT, Radio, Telecom"
,Cellular Phones,"IT, Radio, Telecom","Telephones (IT, Radio and Telecommunications)","IT, Radio, Telecom"
,Digital Set,"IT, Radio, Telecom","Telephones (IT, Radio and Telecommunications)","IT, Radio, Telecom"
,Digital Set System,"IT, Radio, Telecom","Telephones (IT, Radio and Telecommunications)","IT, Radio, Telecom"
,Switchboard,"IT, Radio, Telecom","Telephones (IT, Radio and Telecommunications)","IT, Radio, Telecom"
,Tools (Radio and Telecommunications),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Air spray can (Tools (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Fittings (Tools (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Lubricant spray ca,"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Safety item (Tools (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Soldering (Tools (Radio and Telecommunications)),"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,Tools Various,"IT, Radio, Telecom","IT, Computer Hardware & Software","IT, Radio, Telecom"
,UHF Base,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Antenna (UHF Base),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Repeater (UHF Base),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Repeaters (UHF Base),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,UHF Mobile,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Antenna (UHF Mobile),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Transceiver And Accessories (UHF Mobile),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,UHF Portable,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Antenna (UHF Portable),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Transceiver And Accessories (UHF Portable),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,VHF Base,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Antenna (VHF Base),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Repeater (VHF Base),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Repeaters (VHF Base),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Transceiver And Accessories (VHF Base),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,VHF Mobile,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Antenna (VHF Mobile),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Programing (VHF Mobile),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Repeater (VHF Mobile),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Transceiver And Accessories (VHF Mobile),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,VHF Portable,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Antenna (VHF Portable),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,P ICOM LTE Radios &,"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Programing (VHF Portable),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Transceiver And Accessories (VHF Portable),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,WirelessLAN (Radio and Telecommunications),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Antenna (WirelessLAN (Radio and Telecommunications)),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Transceiver And Accessories (WirelessLAN (Radio and Telecommunications)),"IT, Radio, Telecom",Radio,"IT, Radio, Telecom"
,Services,Other,Service Items (Services),Other
,Administration (Services),Administration,Administration (Services),Administration
,"ACCOMMODATION, Mob",Administration,Administration (Services),Administration
,"ACCOMMODATION, NON",Administration,Administration (Services),Administration
,"ACCOMMODATION, Res",Administration,Administration (Services),Administration
,Audio-Visual Services,Administration,Administration (Services),Administration
,Catering,Administration,Administration (Services),Administration
,Consultant (Administration (Services)),Administration,Administration (Services),Administration
,Daily worker,Administration,Administration (Services),Administration
,Electricity supply,Administration,Administration (Services),Administration
,Energy (Administration (Services)),Administration,Administration (Services),Administration
,Events,Administration,Administration (Services),Administration
,Facilities,Administration,Administration (Services),Administration
,Financial services (Administration (Services)),Administration,Administration (Services),Administration
,Insurance,Administration,Administration (Services),Administration
,Mail service,Administration,Administration (Services),Administration
,Medical care,Administration,Administration (Services),Administration
,Mission expenses D,Administration,Administration (Services),Administration
,Mission expenses H,Administration,Administration (Services),Administration
,Missions expenses,Administration,Administration (Services),Administration
,ONS Miscellaneous,Administration,Administration (Services),Administration
,ONS mission costs,Administration,Administration (Services),Administration
,ONS Purch. of Good,Administration,Administration (Services),Administration
