,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,Overall,Administration,Administration Items,Administration
,Shields,Administration,Administration Items,Administration
,Various Boats (Protection),Administration,Administration Items,Administration
,Working clothes (Protection),Administration,Administration Items,Administration
,Security Items,Administration,Office Equipment,Administration
,Alarm Devices (Security Items),Administration,Office Equipment,Administration
,Alcohol Test,Administration,Office Equipment,Administration
,Anti Blast Film,Administration,Office Equipment,Administration
,Aprons For X-Ray Protection (Security Items),Administration,Office Equipment,Administration
,Bags And Pouches For Packing (Security Items),Administration,Office Equipment,Administration
,Binoculars,Administration,Office Equipment,Administration
,Bulletproof protec,Administration,Office Equipment,Administration
,Fencing (Security Items),Administration,Office Equipment,Administration
,Fire Protection,Administration,Office Equipment,Administration
,Fragmentation prot (Security Items),Administration,Office Equipment,Administration
,Harness,Administration,Office Equipment,Administration
,Helmets (Security Items),Administration,Office Equipment,Administration
,Locator (Security Items),Administration,Office Equipment,Administration
,Masks (Security Items),Administration,Office Equipment,Administration
,Material Sheets,Administration,Office Equipment,Administration
,"Medic Nuclear, Radiologi (Security Items)",Administration,Office Equipment,Administration
,Megaphones,Administration,Office Equipment,Administration
,Personal Protection Items (Security Items),Administration,Office Equipment,Administration
,Recognition tape,Administration,Office Equipment,Administration
,Security service (Security Items),Administration,Office Equipment,Administration
,Signs and markings (Security Items),Administration,Office Equipment,Administration
,Smoke Alarms,Administration,Office Equipment,Administration
,Tools (Security Items),Administration,Office Equipment,Administration
,Wind Socks,Administration,Office Equipment,Administration
,Working clothes (Security Items),Administration,Office Equipment,Administration
,Stationary,Administration,Stationeries & Office Supplies,Administration
,Account books,Administration,Stationeries & Office Supplies,Administration
,Adhesive tape (Stationary),Administration,Stationeries & Office Supplies,Administration
,Album,Administration,Stationeries & Office Supplies,Administration
,Archives Material,Administration,Stationeries & Office Supplies,Administration
,Badges,Administration,Stationeries & Office Supplies,Administration
,Binders,Administration,Stationeries & Office Supplies,Administration
,Blackboard,Administration,Stationeries & Office Supplies,Administration
,Book ends,Administration,Stationeries & Office Supplies,Administration
,Boxes (Stationary),Administration,Stationeries & Office Supplies,Administration
,Cabinet (Stationary),Administration,Stationeries & Office Supplies,Administration
,Calendar,Administration,Stationeries & Office Supplies,Administration
,Cards (Stationary),Administration,Stationeries & Office Supplies,Administration
,Cellotape,Administration,Stationeries & Office Supplies,Administration
,Chalk,Administration,Stationeries & Office Supplies,Administration
,Clip-boards,Administration,Stationeries & Office Supplies,Administration
,Clips (Stationary),Administration,Stationeries & Office Supplies,Administration
,Complimentary card,Administration,Stationeries & Office Supplies,Administration
,Copy holders,Administration,Stationeries & Office Supplies,Administration
,Corrector,Administration,Stationeries & Office Supplies,Administration
,Cutting Instruments (Stationary),Administration,Stationeries & Office Supplies,Administration
,Desk mat,Administration,Stationeries & Office Supplies,Administration
,Diaries,Administration,Stationeries & Office Supplies,Administration
,Diskette holder,Administration,Stationeries & Office Supplies,Administration
,Dispenser (Stationary),Administration,Stationeries & Office Supplies,Administration
,Distribution cards (Stationary),Administration,Stationeries & Office Supplies,Administration
,Dividers For Files,Administration,Stationeries & Office Supplies,Administration
,Dymo + Acc.,Administration,Stationeries & Office Supplies,Administration
,Enveloppes (Stationary),Administration,Stationeries & Office Supplies,Administration
,Erasers,Administration,Stationeries & Office Supplies,Administration
,Finger protector,Administration,Stationeries & Office Supplies,Administration
,Folders,Administration,Stationeries & Office Supplies,Administration
,Glues (Stationary),Administration,Stationeries & Office Supplies,Administration
,Gum tack,Administration,Stationeries & Office Supplies,Administration
,Keyholders (Stationary),Administration,Stationeries & Office Supplies,Administration
,Labels,Administration,Stationeries & Office Supplies,Administration
,Laminating pouches (Stationary),Administration,Stationeries & Office Supplies,Administration
,Letter head,Administration,Stationeries & Office Supplies,Administration
,Letter openers,Administration,Stationeries & Office Supplies,Administration
,Magnets,Administration,Stationeries & Office Supplies,Administration
,"Medic Nuclear, Radiologi (Stationary)",Administration,Stationeries & Office Supplies,Administration
,Memo articles,Administration,Stationeries & Office Supplies,Administration
,Miscellanous Items (Stationary),Administration,Stationeries & Office Supplies,Administration
,Note books,Administration,Stationeries & Office Supplies,Administration
,Paper for Write Copy Print (Stationary),Administration,Stationeries & Office Supplies,Administration
,Paper Punch,Administration,Stationeries & Office Supplies,Administration
,Pen (Stationary),Administration,Stationeries & Office Supplies,Administration
,Pencil (Stationary),Administration,Stationeries & Office Supplies,Administration
,Perforators,Administration,Stationeries & Office Supplies,Administration
,Pin board,Administration,Stationeries & Office Supplies,Administration
,Planning document,Administration,Stationeries & Office Supplies,Administration
,Plastic filing box,Administration,Stationeries & Office Supplies,Administration
,P-Touch Brother,Administration,Stationeries & Office Supplies,Administration
,Rubberhands,Administration,Stationeries & Office Supplies,Administration
,Rules and Rulers (Stationary),Administration,Stationeries & Office Supplies,Administration
,Safety Pins (Stationary),Administration,Stationeries & Office Supplies,Administration
,Scissors (Stationary),Administration,Stationeries & Office Supplies,Administration
,Signature books,Administration,Stationeries & Office Supplies,Administration
,Signs and markings (Stationary),Administration,Stationeries & Office Supplies,Administration
,Slate,Administration,Stationeries & Office Supplies,Administration
,Stamps,Administration,Stationeries & Office Supplies,Administration
,Staples and Staplers (Stationary),Administration,Stationeries & Office Supplies,Administration
,Stationary Materia (Stationary),Administration,Stationeries & Office Supplies,Administration
,Suspension Files For Office,Administration,Stationeries & Office Supplies,Administration
,Thumbstacks,Administration,Stationeries & Office Supplies,Administration
,Transparents,Administration,Stationeries & Office Supplies,Administration
,Trays (Stationary),Administration,Stationeries & Office Supplies,Administration
,Wastebins (Stationary),Administration,Stationeries & Office Supplies,Administration
,Writing Pads,Administration,Stationeries & Office Supplies,Administration
,Video Accessories,Administration,PR Activities,Administration
,Camera (Video Accessories),Administration,PR Activities ,Administration
,DVD player,Administration,PR Activities ,Administration
,Overhead projectors,Administration,PR Activities ,Administration
,Projector,Administration,PR Activities ,Administration
,Recorder (Video Accessories),Administration,PR Activities ,Administration
,Recorder + TV,Administration,PR Activities ,Administration
,Televisions (Video Accessories),Administration,PR Activities ,Administration
,VHS Video Tape,Administration,PR Activities ,Administration
,Video Station,Administration,PR Activities ,Administration
,Weapon-contamination (Administration),Administration,Stationeries & Office Supplies,Administration
,Bags And Pouches For Packing (Weapon-contamination (Administration)),Administration,Stationeries & Office Supplies,Administration
,Ear Protection (Weapon-contamination (Administration)),Administration,Stationeries & Office Supplies,Administration
,Fragmentation prot (Weapon-contamination (Administration)),Administration,Stationeries & Office Supplies,Administration
,Drugs,"Medical, Health",Drug Items,"Medical, Health"
,Antiseptics & Disinfectants (Drugs),"Medical, Health",Drug Items,"Medical, Health"
,Antiseptics & Disinfectants (Antiseptics & Disinfectants (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Chlorexidine & Cetrimide (Antiseptics & Disinfectants (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Delegates (Antiseptics & Disinfectants (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Ethanol (Antiseptics & Disinfectants (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Iodine Povidone (Antiseptics & Disinfectants (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,"Medic Nuclear, Radiologi (Antiseptics & Disinfectants (Drugs))","Medical, Health",Drug Items,"Medical, Health"
,Chemicals & Pesticides (Drugs),"Medical, Health",Drug Items,"Medical, Health"
,Delegates (Chemicals & Pesticides (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Diagnostic Tests (Drugs),"Medical, Health",Drug Items,"Medical, Health"
,Albumin Bovine,"Medical, Health",Drug Items,"Medical, Health"
,Anti-Human Globulin,"Medical, Health",Drug Items,"Medical, Health"
,Antistreptolysin,"Medical, Health",Drug Items,"Medical, Health"
,Blood Grouping,"Medical, Health",Drug Items,"Medical, Health"
,Blood Test,"Medical, Health",Drug Items,"Medical, Health"
,Brucella Suspension,"Medical, Health",Drug Items,"Medical, Health"
,Brucellosis,"Medical, Health",Drug Items,"Medical, Health"
,Buffer (Diagnostic Tests (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Delegates (Diagnostic Tests (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Dengue Fever,"Medical, Health",Drug Items,"Medical, Health"
,Hepatitis B (Diagnostic Tests (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Hepatitis C,"Medical, Health",Drug Items,"Medical, Health"
,HIV,"Medical, Health",Drug Items,"Medical, Health"
,Leishmaniasis,"Medical, Health",Drug Items,"Medical, Health"
,Liss serum,"Medical, Health",Drug Items,"Medical, Health"
,Malaria Test,"Medical, Health",Drug Items,"Medical, Health"
,Miningitis,"Medical, Health",Drug Items,"Medical, Health"
,Pregnancy,"Medical, Health",Drug Items,"Medical, Health"
,Salmonella Tests,"Medical, Health",Drug Items,"Medical, Health"
,SARS-COVID,"Medical, Health",Drug Items,"Medical, Health"
